PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
339,0,0,0,16.54,-111.56,0,0,0,0
340,0,0,0,14.57,-111.38,0,0,0,0
341,0,0,0,14.69,-108.94,0,0,0,0
342,0,0,0,16.52,-109.04,0,0,0,0
343,0,0,0,26.2,-114.74,0,0,0,0
344,0,0,0,26.35,-112.17,0,0,0,0
345,0,0,0,24.65,-112.08,0,0,0,0
346,0,0,0,26.34,-112.14,0,0,0,0
347,0,0,0,26.48,-109.71,0,0,0,0
348,0,0,0,24.84,-109.58,0,0,0,0
349,0,0,0,44.19,-115.8,0,0,0,0
350,0,0,0,32.39,-115.1,0,0,0,0
351,0,0,0,32.5,-112.59,0,0,0,0
352,0,0,0,33.78,-112.67,0,0,0,0
353,0,0,0,32.51,-112.56,0,0,0,0
354,0,0,0,32.65,-110.07,0,0,0,0
355,0,0,0,33.69,-110.14,0,0,0,0
356,0,0,0,44.15,-115.79,0,0,0,0
357,0,0,0,44.28,-113.31,0,0,0,0
358,0,0,0,43.12,-113.24,0,0,0,0
359,0,0,0,62.14,-116.94,0,0,0,0
360,0,0,0,50.36,-116.25,0,0,0,0
361,0,0,0,50.49,-113.78,0,0,0,0
362,0,0,0,51.3,-113.79,0,0,0,0
363,0,0,0,62.11,-116.98,0,0,0,0
364,0,0,0,62.2,-114.42,0,0,0,0
365,0,0,0,60.97,-114.34,0,0,0,0
366,0,0,0,68.25,-117.31,0,0,0,0
367,0,0,0,68.39,-114.83,0,0,0,0
368,0,0,0,69.27,-114.86,0,0,0,0
369,0,0,0,16.62,-104.87,0,0,0,0
370,0,0,0,14.99,-104.8,0,0,0,0
371,0,0,0,15.11,-102.27,0,0,0,0
372,0,0,0,16.24,-102.32,0,0,0,0
373,0,0,0,15.67,-99.55,0,0,0,0
374,0,0,0,15.07,-99.52,0,0,0,0
375,0,0,0,15.22,-97.05,0,0,0,0
376,0,0,0,16.36,-97.1,0,0,0,0
377,0,0,0,15.25,-97.06,0,0,0,0
378,0,0,0,15.42,-94.53,0,0,0,0
379,0,0,0,27.22,-95.27,0,0,0,0
380,0,0,0,16.09,-84.31,0,0,0,0
381,0,0,0,15.97,-86.57,0,0,0,0
382,0,0,0,13.43,-86.39,0,0,0,0
383,0,0,0,13.59,-84.19,0,0,0,0
384,0,0,0,20.31,-85,0,0,0,0
385,0,0,0,20.2,-86.89,0,0,0,0
386,0,0,0,17.72,-86.73,0,0,0,0
